Name,Phase,Prerequisite,Unique,Set,Slot,Type,Speed,Low,High,Armor,Health,Mana,Strength,Agility,Stamina,Intellect,Spirit,Attack Power,Spell Damage,Spell Healing,Nature Damage,Frost Damage,Fire Damage,Phys Hit,Spell Hit,Phys Crit,Spell Crit,Dagger Skill,Mace Skill,Axe Skill,Two-hand Mace Skill,Two-hand Axe Skill,Staff Skill,Melee Haste,Spell Haste,Mp5,Hp5,Spell Pen,Defense,Dodge,Parry,Block,Block Value,Arcane Resistance,Fire Resistance,Nature Resistance,Frost Resistance,Shadow Resistance
Banded Cloak of the Tiger,,,,,16,,,,,21,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banded Cloak of the Whale,,,,,16,,,,,21,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of Agility,,,,,8,,,,,53,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of Nature's Wrath,,,,,8,,,,,53,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of Power,,,,,8,,,,,53,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of Spirit,,,,,8,,,,,53,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of Stamina,,,,,8,,,,,53,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of the Eagle,,,,,8,,,,,53,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of the Falcon,,,,,8,,,,,53,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of the Gorilla,,,,,8,,,,,53,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of the Monkey,,,,,8,,,,,53,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of the Owl,,,,,8,,,,,53,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of the Whale,,,,,8,,,,,53,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Boots of the Wolf,,,,,8,,,,,53,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of Agility,,,,,9,,,,,33,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of Arcane Wrath,,,,,9,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of Healing,,,,,9,,,,,33,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of Intellect,,,,,9,,,,,33,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of Nature's Wrath,,,,,9,,,,,33,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of Power,,,,,9,,,,,33,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of Spirit,,,,,9,,,,,33,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of Stamina,,,,,9,,,,,33,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of the Eagle,,,,,9,,,,,33,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of the Falcon,,,,,9,,,,,33,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of the Monkey,,,,,9,,,,,33,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of the Owl,,,,,9,,,,,33,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of the Whale,,,,,9,,,,,33,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Bracers of the Wolf,,,,,9,,,,,33,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Buckler of Agility,,,,,14,,,,,411,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Buckler of Blocking,,,,,14,,,,,411,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Buckler of Defense,,,,,14,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Buckler of Stamina,,,,,14,,,,,411,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Buckler of Strength,,,,,14,,,,,411,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Buckler of the Bear,,,,,14,,,,,411,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Buckler of the Boar,,,,,14,,,,,411,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Buckler of the Gorilla,,,,,14,,,,,411,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Buckler of the Monkey,,,,,14,,,,,411,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Buckler of the Tiger,,,,,14,,,,,411,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
Bandit Cinch of Arcane Wrath,,,,,6,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of Defense,,,,,6,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of Healing,,,,,6,,,,,43,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of Intellect,,,,,6,,,,,43,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of the Bear,,,,,6,,,,,43,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of the Boar,,,,,6,,,,,43,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of the Eagle,,,,,6,,,,,43,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of the Falcon,,,,,6,,,,,43,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of the Monkey,,,,,6,,,,,43,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of the Owl,,,,,6,,,,,43,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of the Tiger,,,,,6,,,,,43,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of the Whale,,,,,6,,,,,43,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cinch of the Wolf,,,,,6,,,,,43,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of Agility,,,,,16,,,,,16,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of Arcane Wrath,,,,,16,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of Defense,,,,,16,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of Healing,,,,,16,,,,,16,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of Intellect,,,,,16,,,,,16,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of Nature's Wrath,,,,,16,,,,,16,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of Spirit,,,,,16,,,,,16,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of Stamina,,,,,16,,,,,16,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of the Eagle,,,,,16,,,,,16,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of the Falcon,,,,,16,,,,,16,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of the Monkey,,,,,16,,,,,16,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of the Owl,,,,,16,,,,,16,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of the Whale,,,,,16,,,,,16,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Cloak of the Wolf,,,,,16,,,,,16,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of Arcane Wrath,,,,,10,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of Defense,,,,,10,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of Healing,,,,,10,,,,,48,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of Spirit,,,,,10,,,,,48,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of the Bear,,,,,10,,,,,48,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of the Eagle,,,,,10,,,,,48,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of the Falcon,,,,,10,,,,,48,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of the Gorilla,,,,,10,,,,,48,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of the Monkey,,,,,10,,,,,48,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of the Owl,,,,,10,,,,,48,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of the Tiger,,,,,10,,,,,48,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of the Whale,,,,,10,,,,,48,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Gloves of the Wolf,,,,,10,,,,,48,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Agility,,,,,5,,,,,82,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Intellect,,,,,5,,,,,82,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Nature's Wrath,,,,,5,,,,,82,,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Power,,,,,5,,,,,82,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Spirit,,,,,5,,,,,82,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Stamina,,,,,5,,,,,82,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Eagle,,,,,5,,,,,82,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Falcon,,,,,5,,,,,82,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Monkey,,,,,5,,,,,82,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Owl,,,,,5,,,,,82,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Whale,,,,,5,,,,,82,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Wolf,,,,,5,,,,,82,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of Agility,,,,,7,,,,,71,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of Arcane Wrath,,,,,7,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of Healing,,,,,7,,,,,71,,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of Power,,,,,7,,,,,71,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of Spirit,,,,,7,,,,,71,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of the Bear,,,,,7,,,,,71,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of the Eagle,,,,,7,,,,,71,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of the Falcon,,,,,7,,,,,71,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of the Gorilla,,,,,7,,,,,71,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of the Monkey,,,,,7,,,,,71,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of the Owl,,,,,7,,,,,71,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of the Whale,,,,,7,,,,,71,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Pants of the Wolf,,,,,7,,,,,71,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bands of Serra'kis,,,,,9,,,,,39,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banshee Armor,,,,,5,,,,,26,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of Agility,,,,,17,,3.1,47,71,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of Power,,,,,17,,3.1,47,71,,,,,,,,,2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of Stamina,,,,,17,,3.1,47,71,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of Strength,,,,,17,,3.1,47,71,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of the Bear,,,,,17,,3.1,47,71,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of the Boar,,,,,17,,3.1,47,71,,,,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of the Eagle,,,,,17,,3.1,47,71,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of the Monkey,,,,,17,,3.1,47,71,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of the Tiger,,,,,17,,3.1,47,71,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of the Whale,,,,,17,,3.1,47,71,,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbarian War Axe of the Wolf,,,,,17,,3.1,47,71,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of Agility,,,,,17,,3.6,34,52,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of Power,,,,,17,,3.6,34,52,,,,,,,,,1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of Stamina,,,,,17,,3.6,34,52,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of Strength,,,,,17,,3.6,34,52,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of the Bear,,,,,17,,3.6,34,52,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of the Boar,,,,,17,,3.6,34,52,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of the Eagle,,,,,17,,3.6,34,52,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of the Monkey,,,,,17,,3.6,34,52,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of the Tiger,,,,,17,,3.6,34,52,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of the Whale,,,,,17,,3.6,34,52,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Battle Axe of the Wolf,,,,,17,,3.6,34,52,,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Cloth Boots,,,,,8,,,,,19,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Cloth Gloves,,,,,10,,,,,17,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Cloth Robe,,,,,20,,,,,32,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Cloth Vest,,,,,5,,,,,32,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Gloves,,,,,10,,,,,58,,,,4,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Linen Vest,,,,,5,,,,,26,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Loincloth,,,,,7,,,,,25,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbed Club,,,,,21,,2.3,15,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Belt of Arcane Wrath,,,,,6,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Belt of Defense,,,,,6,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Belt of Healing,,,,,6,,,,,39,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
