Name,Phase,Prerequisite,Unique,Set,Slot,Type,Speed,Low,High,Armor,Health,Mana,Strength,Agility,Stamina,Intellect,Spirit,Attack Power,Spell Damage,Spell Healing,Nature Damage,Frost Damage,Fire Damage,Phys Hit,Spell Hit,Phys Crit,Spell Crit,Dagger Skill,Mace Skill,Axe Skill,Two-hand Mace Skill,Two-hand Axe Skill,Staff Skill,Melee Haste,Spell Haste,Mp5,Hp5,Spell Pen,Defense,Dodge,Parry,Block,Block Value,Arcane Resistance,Fire Resistance,Nature Resistance,Frost Resistance,Shadow Resistance
Dervish Spaulders of the Eagle,25,,,,Shoulders,,,,,69,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of the Falcon,25,,,,Shoulders,,,,,69,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of the Monkey,25,,,,Shoulders,,,,,69,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of the Owl,25,,,,Shoulders,,,,,69,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of the Whale,25,,,,Shoulders,,,,,69,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Spaulders of the Wolf,25,,,,Shoulders,,,,,69,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desert Shoulders,25,,,,Shoulders,,,,,31,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthen Leather Shoulders,25,,,,Shoulders,,,,,67,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emblazoned Shoulders,25,,,,Shoulders,,,,,70,,,,,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairywing Mantle,25,,,,Shoulders,,,,,32,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feline Mantle,25,,,,Shoulders,,,,,34,,,,2,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Leather Mantle,25,,,,Shoulders,,,,,64,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frayed Chestnut Mantle,25,,,,Shoulders,,,,,30,,,,,2,6,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghostly Mantle,25,,,,Shoulders,,,,,31,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenweave Mantle,25,,,,Shoulders,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillman's Shoulders,25,,,,Shoulders,,,,,65,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivycloth Mantle,25,,,,Shoulders,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magician's Mantle,25,,,,Shoulders,,,,,32,,,,,,9,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantle of the Thresher Slayer,25,,,,Shoulders,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantle of Thieves,25,,,,Shoulders,,,,,77,,,,10,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantle of Woe,25,,,,Shoulders,,,,,34,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospector's Pads,25,,,,Shoulders,,,,,64,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raincaller Mantle,25,,,,Shoulders,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of Agility,25,,,,Shoulders,,,,,65,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of Defense,25,,,,Shoulders,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of Intellect,25,,,,Shoulders,,,,,65,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of Nature's Wrath,25,,,,Shoulders,,,,,65,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of Stamina,25,,,,Shoulders,,,,,65,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of the Boar,25,,,,Shoulders,,,,,65,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of the Eagle,25,,,,Shoulders,,,,,65,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of the Falcon,25,,,,Shoulders,,,,,65,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of the Monkey,25,,,,Shoulders,,,,,65,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of the Owl,25,,,,Shoulders,,,,,65,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of the Whale,25,,,,Shoulders,,,,,65,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigid Shoulders of the Wolf,25,,,,Shoulders,,,,,65,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of Agility,25,,,,Shoulders,,,,,70,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of Defense,25,,,,Shoulders,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of Intellect,25,,,,Shoulders,,,,,70,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of Nature's Wrath,25,,,,Shoulders,,,,,70,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of Stamina,25,,,,Shoulders,,,,,70,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of the Boar,25,,,,Shoulders,,,,,70,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of the Eagle,25,,,,Shoulders,,,,,70,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of the Falcon,25,,,,Shoulders,,,,,70,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of the Monkey,25,,,,Shoulders,,,,,70,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of the Owl,25,,,,Shoulders,,,,,70,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of the Whale,25,,,,Shoulders,,,,,70,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robust Shoulders of the Wolf,25,,,,Shoulders,,,,,70,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage's Mantle,25,,,,Shoulders,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanguine Mantle,25,,,,Shoulders,,,,,30,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel Pauldrons,25,,,,Shoulders,,,,,81,,,,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver-thread Amice,25,,,,Shoulders,,,,,32,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slime-encrusted Pads,25,,,,Shoulders,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
Sub-Zero Pauldrons,25,,,,Shoulders,,,,,35,,,,,,6,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of Agility,25,,,,Shoulders,,,,,67,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of Defense,25,,,,Shoulders,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of Intellect,25,,,,Shoulders,,,,,67,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of Nature's Wrath,25,,,,Shoulders,,,,,67,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of Stamina,25,,,,Shoulders,,,,,67,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of the Boar,25,,,,Shoulders,,,,,67,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of the Eagle,25,,,,Shoulders,,,,,67,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of the Falcon,25,,,,Shoulders,,,,,67,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of the Monkey,25,,,,Shoulders,,,,,67,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of the Owl,25,,,,Shoulders,,,,,67,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of the Whale,25,,,,Shoulders,,,,,67,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Shoulders of the Wolf,25,,,,Shoulders,,,,,67,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talbar Mantle,25,,,,Shoulders,,,,,30,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voodoo Mantle,25,,,,Shoulders,,,,,30,,,,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watcher's Mantle,25,,,,Shoulders,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of Agility,25,,,,Shoulders,,,,,68,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of Defense,25,,,,Shoulders,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of Intellect,25,,,,Shoulders,,,,,68,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of Nature's Wrath,25,,,,Shoulders,,,,,68,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of Stamina,25,,,,Shoulders,,,,,68,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of the Boar,25,,,,Shoulders,,,,,68,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of the Eagle,25,,,,Shoulders,,,,,68,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of the Falcon,25,,,,Shoulders,,,,,68,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of the Monkey,25,,,,Shoulders,,,,,68,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of the Owl,25,,,,Shoulders,,,,,68,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of the Whale,25,,,,Shoulders,,,,,68,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrangler's Mantle of the Wolf,25,,,,Shoulders,,,,,68,,,,6,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal Vest,25,,,,Chest,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancestral Tunic,25,,,,Chest,,,,,25,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor of the Fang,25,,,,Chest,,,,,82,,,2,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Silk Vest,25,,,,Chest,,,,,43,,,,,,9,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Agility,25,,,,Chest,,,,,82,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Intellect,25,,,,Chest,,,,,82,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Nature's Wrath,25,,,,Chest,,,,,82,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Power,25,,,,Chest,,,,,82,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Spirit,25,,,,Chest,,,,,82,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of Stamina,25,,,,Chest,,,,,82,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Eagle,25,,,,Chest,,,,,82,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Falcon,25,,,,Chest,,,,,82,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Monkey,25,,,,Chest,,,,,82,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Owl,25,,,,Chest,,,,,82,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Whale,25,,,,Chest,,,,,82,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandit Jerkin of the Wolf,25,,,,Chest,,,,,82,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banshee Armor,25,,,,Chest,,,,,26,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Cloth Vest,25,,,,Chest,,,,,32,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbaric Linen Vest,25,,,,Chest,,,,,26,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of Agility,25,,,,Chest,,,,,76,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of Intellect,25,,,,Chest,,,,,76,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of Nature's Wrath,25,,,,Chest,,,,,76,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of Power,25,,,,Chest,,,,,76,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of Spirit,25,,,,Chest,,,,,76,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of Stamina,25,,,,Chest,,,,,76,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of the Eagle,25,,,,Chest,,,,,76,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of the Falcon,25,,,,Chest,,,,,76,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of the Monkey,25,,,,Chest,,,,,76,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of the Owl,25,,,,Chest,,,,,76,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of the Whale,25,,,,Chest,,,,,76,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bard's Tunic of the Wolf,25,,,,Chest,,,,,76,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barkshell Tunic,25,,,,Chest,,,,,86,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaded Wraps,25,,,,Chest,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Boiled Leathers,25,,,,Chest,,,,,103,,,,9,11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Whelp Tunic,25,,,,Chest,,,,,78,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackened Defias Armor,25,,,,Chest,,,,,92,,,4,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Linen Vest,25,,,,Chest,,,,,23,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boorguard Tunic,25,,,,Chest,,,,,89,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brawnhide Armor,25,,,,Chest,,,,,92,,,,4,9,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Armor,25,,,,Chest,,,,,41,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristlebark Blouse,25,,,,Chest,,,,,90,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brood Mother Carapace,25,,,,Chest,,,,,55,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneer's Vest,25,,,,Chest,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnt Leather Vest,25,,,,Chest,,,,,58,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camouflaged Tunic,25,,,,Chest,,,,,81,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceremonial Leather Harness,25,,,,Chest,,,,,74,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clamweave Tunic,25,,,,Chest,,,,,117,,,,3,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair's Overshirt,25,,,,Chest,,,,,42,,,,,5,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Leather Tunic,25,,,,Chest,,,,,78,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of Agility,25,,,,Chest,,,,,94,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of Intellect,25,,,,Chest,,,,,94,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of Nature's Wrath,25,,,,Chest,,,,,94,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of Power,25,,,,Chest,,,,,94,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of Spirit,25,,,,Chest,,,,,94,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of Stamina,25,,,,Chest,,,,,94,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of the Eagle,25,,,,Chest,,,,,94,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of the Falcon,25,,,,Chest,,,,,94,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of the Monkey,25,,,,Chest,,,,,94,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of the Owl,25,,,,Chest,,,,,94,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of the Whale,25,,,,Chest,,,,,94,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dervish Tunic of the Wolf,25,,,,Chest,,,,,94,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disciple's Vest,25,,,,Chest,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dry Moss Tunic,25,,,,Chest,,,,,86,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
